x	y	inftime	removaltime
1	0.5	5	8
2	0.5	3	6
3	0.5	0	0
4	0.5	0	0
5	0.5	0	0
6	0.5	0	0
7	0.5	0	0
8	0.5	0	0
9	0.5	7	10
10	0.5	0	0
11	0.5	0	0
12	0.5	5	8
13	0.5	7	10
14	0.5	5	8
15	0.5	0	0
16	0.5	5	8
17	0.5	0	0
18	0.5	0	0
19	0.5	7	10
20	0.5	7	10
21	0.5	0	0
22	0.5	6	9
23	0.5	7	10
24	0.5	7	10
25	0.5	0	0
26	0.5	7	10
1	1	4	7
2	1	5	8
3	1	0	0
4	1	0	0
5	1	0	0
6	1	7	10
7	1	0	0
8	1	5	8
9	1	7	10
10	1	5	8
11	1	0	0
12	1	7	10
13	1	0	0
14	1	0	0
15	1	0	0
16	1	0	0
17	1	0	0
18	1	0	0
19	1	4	7
20	1	5	8
21	1	0	0
22	1	4	7
23	1	5	8
24	1	6	9
25	1	0	0
26	1	0	0
1	1.5	6	9
2	1.5	5	8
3	1.5	5	8
4	1.5	7	10
5	1.5	0	0
6	1.5	0	0
7	1.5	5	8
8	1.5	5	8
9	1.5	4	7
10	1.5	5	8
11	1.5	0	0
12	1.5	6	9
13	1.5	0	0
14	1.5	0	0
15	1.5	0	0
16	1.5	0	0
17	1.5	0	0
18	1.5	6	9
19	1.5	6	9
20	1.5	6	9
21	1.5	6	9
22	1.5	5	8
23	1.5	0	0
24	1.5	0	0
25	1.5	7	10
26	1.5	0	0
1	2	7	10
2	2	0	0
3	2	0	0
4	2	0	0
5	2	2	5
6	2	0	0
7	2	5	8
8	2	3	6
9	2	4	7
10	2	6	9
11	2	0	0
12	2	6	9
13	2	4	7
14	2	4	7
15	2	5	8
16	2	0	0
17	2	7	10
18	2	7	10
19	2	0	0
20	2	7	10
21	2	7	10
22	2	6	9
23	2	0	0
24	2	0	0
25	2	0	0
26	2	0	0
1	2.5	7	10
2	2.5	7	10
3	2.5	0	0
4	2.5	0	0
5	2.5	0	0
6	2.5	0	0
7	2.5	7	10
8	2.5	4	7
9	2.5	3	6
10	2.5	6	9
11	2.5	6	9
12	2.5	7	10
13	2.5	7	10
14	2.5	7	10
15	2.5	5	8
16	2.5	0	0
17	2.5	0	0
18	2.5	6	9
19	2.5	0	0
20	2.5	0	0
21	2.5	0	0
22	2.5	6	9
23	2.5	5	8
24	2.5	0	0
25	2.5	4	7
26	2.5	0	0
1	3	6	9
2	3	7	10
3	3	0	0
4	3	0	0
5	3	0	0
6	3	0	0
7	3	7	10
8	3	4	7
9	3	4	7
10	3	4	7
11	3	5	8
12	3	7	10
13	3	0	0
14	3	7	10
15	3	0	0
16	3	0	0
17	3	0	0
18	3	5	8
19	3	0	0
20	3	0	0
21	3	0	0
22	3	6	9
23	3	6	9
24	3	0	0
25	3	5	8
26	3	0	0
1	3.5	6	9
2	3.5	0	0
3	3.5	0	0
4	3.5	6	9
5	3.5	0	0
6	3.5	7	10
7	3.5	7	10
8	3.5	0	0
9	3.5	6	9
10	3.5	4	7
11	3.5	5	8
12	3.5	7	10
13	3.5	0	0
14	3.5	0	0
15	3.5	0	0
16	3.5	0	0
17	3.5	7	10
18	3.5	6	9
19	3.5	0	0
20	3.5	0	0
21	3.5	4	7
22	3.5	6	9
23	3.5	6	9
24	3.5	0	0
25	3.5	5	8
26	3.5	0	0
1	4	7	10
2	4	7	10
3	4	6	9
4	4	6	9
5	4	0	0
6	4	7	10
7	4	7	10
8	4	6	9
9	4	0	0
10	4	6	9
11	4	0	0
12	4	7	10
13	4	0	0
14	4	7	10
15	4	0	0
16	4	0	0
17	4	6	9
18	4	6	9
19	4	6	9
20	4	0	0
21	4	4	7
22	4	6	9
23	4	7	10
24	4	0	0
25	4	0	0
26	4	0	0
1	4.5	7	10
2	4.5	6	9
3	4.5	0	0
4	4.5	6	9
5	4.5	0	0
6	4.5	7	10
7	4.5	4	7
8	4.5	5	8
9	4.5	6	9
10	4.5	5	8
11	4.5	0	0
12	4.5	6	9
13	4.5	0	0
14	4.5	4	7
15	4.5	7	10
16	4.5	6	9
17	4.5	7	10
18	4.5	6	9
19	4.5	3	6
20	4.5	6	9
21	4.5	6	9
22	4.5	6	9
23	4.5	6	9
24	4.5	6	9
25	4.5	0	0
26	4.5	7	10
1	5	6	9
2	5	6	9
3	5	6	9
4	5	7	10
5	5	7	10
6	5	0	0
7	5	7	10
8	5	6	9
9	5	6	9
10	5	4	7
11	5	0	0
12	5	5	8
13	5	7	10
14	5	0	0
15	5	7	10
16	5	7	10
17	5	6	9
18	5	6	9
19	5	6	9
20	5	0	0
21	5	6	9
22	5	4	7
23	5	7	10
24	5	0	0
25	5	0	0
26	5	7	10
1	5.5	0	0
2	5.5	0	0
3	5.5	0	0
4	5.5	7	10
5	5.5	0	0
6	5.5	5	8
7	5.5	7	10
8	5.5	6	9
9	5.5	7	10
10	5.5	3	6
11	5.5	0	0
12	5.5	7	10
13	5.5	7	10
14	5.5	0	0
15	5.5	0	0
16	5.5	6	9
17	5.5	0	0
18	5.5	6	9
19	5.5	6	9
20	5.5	7	10
21	5.5	4	7
22	5.5	4	7
23	5.5	6	9
24	5.5	4	7
25	5.5	0	0
26	5.5	0	0
1	6	0	0
2	6	0	0
3	6	0	0
4	6	7	10
5	6	0	0
6	6	6	9
7	6	7	10
8	6	4	7
9	6	7	10
10	6	3	6
11	6	0	0
12	6	5	8
13	6	7	10
14	6	0	0
15	6	4	7
16	6	6	9
17	6	0	0
18	6	6	9
19	6	3	6
20	6	0	0
21	6	5	8
22	6	5	8
23	6	6	9
24	6	0	0
25	6	0	0
26	6	0	0
1	6.5	0	0
2	6.5	0	0
3	6.5	0	0
4	6.5	5	8
5	6.5	0	0
6	6.5	0	0
7	6.5	0	0
8	6.5	4	7
9	6.5	7	10
10	6.5	3	6
11	6.5	7	10
12	6.5	6	9
13	6.5	5	8
14	6.5	0	0
15	6.5	0	0
16	6.5	6	9
17	6.5	7	10
18	6.5	0	0
19	6.5	0	0
20	6.5	0	0
21	6.5	6	9
22	6.5	4	7
23	6.5	6	9
24	6.5	6	9
25	6.5	6	9
26	6.5	0	0
1	7	0	0
2	7	0	0
3	7	0	0
4	7	7	10
5	7	0	0
6	7	0	0
7	7	4	7
8	7	3	6
9	7	4	7
10	7	6	9
11	7	6	9
12	7	7	10
13	7	0	0
14	7	7	10
15	7	7	10
16	7	0	0
17	7	4	7
18	7	0	0
19	7	0	0
20	7	0	0
21	7	7	10
22	7	6	9
23	7	7	10
24	7	4	7
25	7	0	0
26	7	6	9
1	7.5	6	9
2	7.5	6	9
3	7.5	5	8
4	7.5	0	0
5	7.5	6	9
6	7.5	0	0
7	7.5	0	0
8	7.5	4	7
9	7.5	6	9
10	7.5	6	9
11	7.5	0	0
12	7.5	6	9
13	7.5	0	0
14	7.5	7	10
15	7.5	7	10
16	7.5	0	0
17	7.5	7	10
18	7.5	0	0
19	7.5	6	9
20	7.5	6	9
21	7.5	5	8
22	7.5	4	7
23	7.5	6	9
24	7.5	7	10
25	7.5	0	0
26	7.5	0	0
1	8	0	0
2	8	0	0
3	8	0	0
4	8	7	10
5	8	7	10
6	8	0	0
7	8	7	10
8	8	4	7
9	8	6	9
10	8	0	0
11	8	0	0
12	8	7	10
13	8	4	7
14	8	7	10
15	8	6	9
16	8	7	10
17	8	0	0
18	8	0	0
19	8	5	8
20	8	3	6
21	8	5	8
22	8	7	10
23	8	7	10
24	8	5	8
25	8	5	8
26	8	6	9
1	8.5	0	0
2	8.5	0	0
3	8.5	7	10
4	8.5	7	10
5	8.5	7	10
6	8.5	0	0
7	8.5	0	0
8	8.5	4	7
9	8.5	0	0
10	8.5	0	0
11	8.5	0	0
12	8.5	5	8
13	8.5	7	10
14	8.5	4	7
15	8.5	7	10
16	8.5	6	9
17	8.5	0	0
18	8.5	5	8
19	8.5	4	7
20	8.5	4	7
21	8.5	6	9
22	8.5	3	6
23	8.5	6	9
